DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
Telomere_Sde2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1
SQHop_cyclase_N	0	1	2	1	1	1	2	2	1	1	1	1	2	1	1	0	1	2	1	1
YqeY	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	0	1	1	1	1
PolyA_pol_RNAbd	0	2	2	1	1	3	0	2	2	1	0	1	1	0	1	0	1	2	2	1
Urease_beta	2	6	7	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	1	1
PUL	2	3	2	0	1	1	0	2	1	1	1	0	1	0	1	1	1	2	2	1
HSCB_C	2	2	2	1	1	0	0	1	2	1	1	0	1	0	1	1	1	3	2	1
UPF0139	0	1	1	1	1	1	0	2	2	1	1	1	2	0	1	2	1	2	2	1
Methyltr_RsmF_N	1	1	1	1	1	1	1	2	0	1	1	1	2	1	1	1	1	3	1	1
TFIID_NTD2	0	0	1	1	1	1	2	2	2	1	0	0	2	1	0	1	1	3	3	1
D123	1	0	1	1	0	1	3	1	2	1	2	0	1	1	1	1	1	3	1	1
PigN	1	2	1	0	0	1	0	2	1	1	0	1	1	1	1	1	1	3	2	1
TFIIE_alpha	1	1	1	1	1	1	0	3	2	1	0	1	2	0	1	2	1	1	2	1
Ribosomal_S30	2	0	8	0	1	1	0	2	1	0	0	1	1	0	1	2	0	1	1	1
5-FTHF_cyc-lig	0	1	2	2	0	1	1	1	1	1	1	0	1	0	1	1	1	4	3	1
Peptidase_M17_N	1	3	1	1	1	1	1	3	1	1	1	0	2	1	0	0	1	2	1	1
RPAP1_N	1	2	1	0	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	0
FDF	2	2	1	1	2	1	0	2	0	2	2	0	0	0	0	2	1	3	2	0
NADH-u_ox-rdase	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1
DUF915	0	0	1	1	1	1	1	0	1	1	1	1	1	0	3	4	4	0	1	1
TBCA	1	1	1	1	1	1	2	2	1	1	1	0	2	1	1	0	1	2	2	1
Transferrin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0
PhoD	2	3	2	0	0	1	1	0	2	0	1	1	2	1	1	1	1	1	1	1
Pantoate_ligase	1	2	1	1	1	1	1	1	2	1	1	0	2	1	1	2	1	1	1	1
EIF_2_alpha	1	0	1	1	1	1	2	0	1	1	1	1	2	1	1	2	1	2	2	1
SH3BGR	0	2	2	1	1	1	1	1	2	1	1	0	1	0	1	2	1	2	2	1
hGDE_N	0	1	1	1	1	1	1	2	2	1	1	0	2	1	1	1	1	2	2	1
OPA3	1	0	1	1	1	1	0	2	1	1	1	1	2	1	1	2	1	2	2	1
ELMO_CED12	1	1	1	1	1	1	1	0	1	1	0	1	2	1	1	2	1	2	3	1
SPT6_acidic	1	0	0	1	1	1	2	3	1	1	1	1	2	1	0	1	1	2	2	1
RAC_head	2	1	2	1	1	1	2	3	2	1	0	0	2	1	1	0	0	1	2	0
Fer4_9	0	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1
SUV3_C	1	2	1	1	1	2	1	2	1	1	1	0	1	1	0	2	2	1	2	0
ORC2	1	1	1	0	1	1	2	1	2	1	1	1	0	1	1	2	1	2	2	1
DUF1604	0	1	1	1	1	1	2	1	2	1	1	0	1	1	1	1	1	3	2	1
SLIDE	1	0	1	1	1	2	1	0	1	1	1	1	2	1	1	1	1	3	2	1
PKD_channel	0	0	0	1	0	1	0	1	0	0	0	2	3	0	0	1	1	6	6	1
CDC37_M	1	1	1	1	0	1	2	2	2	1	1	0	2	1	1	0	1	2	2	1
HPP	2	3	6	0	0	0	1	0	1	0	2	1	2	1	1	2	1	0	0	0
Mlh1_C	0	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	0	6	2	1
Clp1	1	0	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2
RICTOR_M	0	1	2	1	1	1	1	2	2	1	0	0	1	1	1	2	1	3	1	1
LAGLIDADG_1	0	0	0	0	0	0	0	2	0	0	3	0	3	1	1	0	0	6	0	3
ATG13	2	0	2	1	0	1	0	2	2	1	1	0	2	1	0	1	0	2	2	1
Spt4	1	1	1	1	1	1	0	2	2	0	0	1	2	1	1	2	1	2	2	1
RIC1	1	1	1	1	0	1	2	2	1	1	1	1	2	1	1	0	1	2	2	1
RNA_pol_Rbc25	1	1	1	1	1	1	2	2	2	1	0	0	1	1	1	2	0	2	2	1
SBDS_C	1	1	1	0	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1
Guanylate_cyc_2	0	2	2	1	1	1	0	2	0	1	1	1	2	1	1	2	1	2	1	1
Atg14	1	1	2	0	0	0	0	2	0	0	0	0	2	0	0	3	1	6	3	2
Med10	1	1	1	1	0	1	2	2	1	1	0	1	2	1	1	1	1	2	2	1
fn3_2	1	1	1	1	1	1	2	2	1	1	1	0	2	1	1	2	1	1	1	1
Mit_ribos_Mrp51	1	0	1	1	1	1	2	3	2	1	1	0	2	1	1	1	1	1	1	1
Fer4_4	0	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1
Mob_synth_C	1	1	1	1	1	2	1	2	0	1	1	0	0	1	1	2	1	2	1	1
eIF-6	1	1	1	1	1	1	1	1	2	1	0	1	2	1	1	1	1	2	2	1
TAFII28	1	0	2	1	0	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1
Ints3	0	3	1	1	1	1	1	2	1	1	0	0	1	1	1	1	1	2	2	2
GN3L_Grn1	0	1	1	1	1	1	2	1	2	1	1	1	2	1	1	0	1	2	2	1
PTPS	1	1	2	1	1	1	1	2	1	1	0	0	1	1	1	1	1	2	2	2
E2_bind	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1
Sec66	1	2	1	1	2	1	1	2	1	1	1	0	2	1	1	1	1	1	1	1
RNA_polI_A34	1	1	2	1	1	1	2	2	1	1	1	0	1	1	1	1	1	1	2	1
DBR1	1	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1
PHP	1	3	2	1	0	1	3	1	3	1	1	0	1	1	2	0	0	0	1	1
LNS2	0	1	1	1	1	1	1	2	2	1	1	0	2	1	1	1	1	2	2	1
DUF1744	1	0	1	1	1	1	2	1	2	1	1	1	1	1	1	0	1	3	2	1
Cgr1	1	1	2	0	1	0	2	2	2	0	0	1	2	1	1	0	1	3	2	1
DUF2039	1	4	1	1	1	1	1	2	0	1	1	0	0	1	1	1	0	2	2	1
FPN1	2	5	5	0	0	0	0	1	0	0	0	0	1	0	0	1	1	3	1	1
Flavokinase	1	0	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1
PDH	0	1	2	0	1	1	1	1	2	1	0	1	1	1	1	2	1	4	1	1
Reeler	0	0	1	0	0	0	2	0	3	0	0	0	0	2	1	2	1	4	7	0
L31	1	2	1	1	1	1	1	2	0	1	1	1	2	1	1	2	1	0	1	2
SHNi-TPR	1	2	1	1	1	1	2	2	2	1	0	0	0	1	1	2	1	2	1	1
Maf	0	1	1	1	1	2	0	2	2	1	1	0	1	0	1	2	1	3	2	1
Ribosomal_L32p	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1	2	2	1
RibD_C	2	1	3	1	2	1	2	1	0	1	1	0	0	1	1	1	1	2	1	1
DASH_Duo1	1	1	1	0	1	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1
PIG-S	1	1	1	1	1	1	0	2	1	1	1	1	1	0	1	2	1	2	2	2
Mak10	0	2	2	1	1	1	0	4	0	1	0	0	1	0	1	1	1	3	2	1
Lysine_decarbox	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	0	0	3	1	1
Peptidase_M50B	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1
TIM21	1	0	1	1	1	1	2	2	0	1	1	0	0	1	1	2	1	2	3	1
NuA4	0	1	1	0	1	1	1	2	1	1	1	1	2	1	1	1	0	3	2	1
RVP	0	0	0	0	1	2	0	2	0	5	0	0	2	0	0	0	0	1	9	0
Urm1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1
zf-SNAP50_C	0	1	1	1	1	1	1	3	2	1	0	1	1	1	1	0	1	2	2	1
RNF220	2	3	1	0	1	1	1	2	2	1	1	1	1	1	1	0	0	2	1	0
Sterol_MT_C	1	2	2	0	0	0	2	0	2	0	1	0	4	1	1	2	1	1	1	1
EF-hand_like	0	0	1	0	0	0	1	0	0	0	0	1	2	1	0	4	1	8	2	1
Tma16	1	0	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1
DUF410	1	0	2	1	1	1	1	2	2	1	0	0	1	1	1	2	1	2	2	0
DUF4728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0
rRNA_processing	0	1	1	1	1	1	2	2	1	1	1	1	1	1	0	2	1	2	1	1
DUF747	1	2	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	2	2	1
Myosin_N	1	2	0	0	1	1	2	1	1	1	1	0	2	1	0	1	0	3	3	1
DUF775	0	0	2	1	1	1	0	2	1	0	1	1	2	1	1	2	1	2	2	1
MWFE	0	3	2	0	1	1	2	2	2	1	1	1	2	1	1	1	0	0	0	1
PH_TFIIH	0	2	0	0	0	0	2	0	1	0	0	1	0	1	1	1	1	9	2	1
ELYS	1	1	1	1	1	1	0	2	0	1	0	1	1	0	1	2	1	2	4	1
Med23	1	1	1	0	1	1	0	2	0	1	0	0	1	0	0	0	1	3	5	1
HAT_KAT11	1	2	1	1	1	1	2	2	2	1	0	0	1	1	1	0	1	2	1	1
MRP-S22	1	0	1	1	0	1	1	2	1	1	1	0	2	1	1	1	1	3	2	1
DUF1624	1	3	2	1	1	1	1	1	1	1	1	1	1	0	0	2	1	0	2	1
SRP40_C	1	1	1	1	1	1	2	0	1	1	1	1	2	1	1	0	1	2	1	2
Sec20	1	0	1	1	1	1	1	2	1	1	1	1	0	0	1	2	2	2	2	1
MOR2-PAG1_C	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	3	2	1
XAP5	1	2	2	0	0	1	2	0	0	1	0	1	2	1	1	2	1	2	2	1
Mid1	0	1	2	1	1	1	1	2	1	1	0	1	1	1	1	2	2	1	1	1
Sdh5	1	1	1	1	1	0	1	2	1	1	1	1	2	1	1	0	1	2	2	1
hSac2	0	0	0	1	1	1	2	2	2	1	0	1	2	1	1	1	1	2	1	2
COX1	0	0	1	1	1	1	1	0	0	0	2	0	2	0	1	0	1	10	0	0
Afi1	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1
zf-Mss51	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	2	1	1	1	1
Calcipressin	1	2	1	1	1	1	0	2	0	1	0	1	2	0	1	2	1	2	2	1
Cob_adeno_trans	0	3	3	1	1	2	2	2	2	1	1	1	1	0	1	0	0	1	0	0
Nipped-B_C	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	0	0	3	2	1
Spore_permease	1	1	4	3	1	1	1	1	0	0	2	0	2	1	1	0	0	1	1	1
Lactamase_B_4	0	2	2	1	1	1	1	2	1	0	0	2	0	1	1	2	1	1	2	1
Viral_helicase1	0	1	1	1	2	1	0	2	3	1	0	1	1	0	1	0	1	4	2	0
PRA-PH	1	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
MoeA_C	1	1	1	1	0	1	1	2	1	1	0	1	1	1	1	2	1	2	2	1
SF3A2	1	1	1	0	1	1	0	2	1	1	1	1	2	0	1	2	1	2	2	1
HisG_C	0	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
Methyltrn_RNA_3	1	1	1	0	0	0	2	0	3	0	1	1	2	1	1	1	1	3	2	1
DUF2428	1	2	2	1	1	1	0	2	0	1	0	0	1	0	0	1	1	3	4	1
PAPA-1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
CHS5_N	1	1	1	1	1	1	2	2	1	0	1	0	2	1	1	2	1	1	1	1
FANCI_HD2	1	0	0	1	1	1	1	1	2	1	1	1	0	1	1	1	1	3	1	2
AdenylateSensor	1	0	1	1	1	1	1	0	1	1	0	1	2	1	1	2	1	3	2	1
GBP	3	2	3	1	1	1	1	2	0	0	0	0	2	0	0	0	0	5	1	0
DUF4208	0	1	1	1	1	1	2	2	0	1	0	0	2	1	1	1	1	2	2	2
Erg28	1	1	1	1	1	1	0	2	2	2	0	1	0	0	1	2	2	1	2	1
SAP18	0	1	1	0	0	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1
MAGE	1	0	1	1	1	2	1	2	2	0	1	1	1	0	1	1	0	3	2	1
Nrap_D3	1	3	1	1	0	1	0	2	0	1	1	1	1	0	1	1	1	3	2	1
Gal-bind_lectin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0
ATE_C	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	2	1	9	2	1
Copper-fist	0	0	3	1	1	1	2	2	1	1	1	0	0	1	1	1	1	2	1	2
WAC_Acf1_DNA_bd	0	1	1	1	1	1	2	2	2	1	0	0	0	1	1	1	2	2	2	1
RNase_P_Rpp14	0	0	2	1	0	0	2	1	1	0	1	0	0	1	1	2	1	4	3	2
DUF1771	1	2	2	0	1	1	2	1	1	1	0	0	1	1	1	2	1	1	2	1
MPP6	1	0	1	1	0	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1
SHD1	1	0	1	1	1	1	2	0	2	1	1	1	2	1	1	2	1	1	1	1
MDM10	1	1	1	1	0	1	0	2	2	1	0	1	2	0	1	2	1	2	2	1
DCP2	0	0	2	1	1	1	1	2	0	0	1	1	0	1	1	2	1	5	1	1
eIF_4G1	2	4	2	0	0	0	2	0	2	0	1	0	2	1	1	1	1	1	1	1
zf-LYAR	1	2	2	1	0	1	1	1	1	1	1	1	2	0	1	2	0	1	2	1
Ribosomal_L40e	0	6	0	0	0	1	1	2	1	1	1	0	2	1	0	0	1	3	1	1
Glyco_hydro_25	0	4	1	2	4	0	2	7	0	0	0	0	0	1	1	0	0	0	0	0
MAP65_ASE1	2	3	3	0	0	0	0	0	2	0	1	1	2	0	0	1	1	3	2	1
NAD_binding_3	0	1	1	1	1	1	2	3	2	1	0	1	2	1	1	0	1	1	1	1
She9_MDM33	0	1	1	1	2	1	2	3	2	1	1	0	1	1	1	1	1	0	1	1
DUF1769	1	2	3	1	0	1	2	1	1	1	1	0	1	1	1	0	1	1	1	1
DUF384	0	1	1	0	1	1	2	2	1	1	1	0	2	1	1	1	1	1	2	1
PEX-1N	1	1	2	1	1	1	2	2	2	1	0	1	0	1	1	0	1	0	2	1
Ku	1	2	2	2	0	2	0	1	0	1	0	2	2	0	0	1	1	2	2	0
Vps54	1	1	1	1	1	1	2	0	0	1	1	1	1	1	1	1	1	2	2	1
CM_2	0	0	1	1	0	1	2	2	2	1	1	0	2	1	1	2	1	1	1	1
PRCC	0	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1
Rib_5-P_isom_A	1	1	0	1	2	1	2	2	2	1	1	1	2	1	1	0	0	1	1	0
QRPTase_N	1	1	1	1	1	1	2	0	1	1	1	1	2	1	1	0	1	1	1	2
DPM2	0	0	1	1	1	1	2	2	2	1	0	0	1	0	1	3	0	1	1	3
DUF788	2	2	2	1	1	1	0	2	0	1	1	0	0	0	1	0	2	2	2	1
CDC37_C	0	0	0	1	1	1	2	2	2	1	1	0	2	1	1	0	1	2	2	1
EFP_N	0	1	1	1	1	1	2	1	2	1	1	0	2	1	1	1	1	1	1	1
DUF3605	2	1	2	1	1	0	1	1	2	1	1	0	1	1	1	1	1	1	1	1
Dopey_N	0	3	1	0	0	0	2	0	1	0	0	0	2	1	1	2	1	2	1	1
TFIIIC_sub6	0	1	1	1	1	1	0	1	2	1	1	0	0	0	1	2	1	4	2	1
CoA_binding_2	0	3	3	1	1	1	1	2	1	0	0	0	1	1	1	1	1	1	1	1
HEM4	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1	2	1	4	3	1
SPC12	0	0	1	1	1	1	2	2	2	1	0	0	1	1	1	2	1	2	1	1
TRIC	0	2	2	0	1	1	0	1	2	1	0	1	1	1	1	1	1	2	2	1
AdoMet_MTase	1	1	1	1	1	1	1	1	2	1	1	0	0	1	1	2	1	1	2	1
DUF5009	0	3	3	1	1	1	2	2	1	1	0	0	2	1	1	0	0	0	1	1
Ipi1_N	1	1	1	1	0	1	2	2	1	1	1	0	1	0	1	1	1	2	2	1
dCMP_cyt_deam_2	0	1	2	1	1	1	2	2	1	1	0	0	1	1	1	0	1	2	2	1
Nrap_D5	1	3	1	1	1	1	0	2	0	1	1	0	1	0	1	1	1	2	2	1
Chloroa_b-bind	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
DHHA2	1	1	1	1	0	1	2	1	0	1	1	0	1	1	1	2	1	2	2	1
TBP-binding	1	2	1	1	1	1	1	1	2	1	1	0	0	1	1	2	1	1	1	1
Glyco_transf_7C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0
BRAP2	1	1	1	1	1	1	0	2	2	1	1	0	0	0	1	2	1	2	2	1
Sec16	0	1	1	1	1	1	2	3	2	1	0	0	2	1	1	0	0	1	2	1
Pyridox_oxase_2	0	1	1	1	1	1	0	2	2	1	1	1	0	1	1	1	1	2	2	1
Ribosomal_L9_N	0	2	1	1	0	1	1	2	0	1	1	1	2	1	1	0	1	2	2	1
LeuA_dimer	0	1	1	1	1	1	1	2	2	1	2	1	1	1	1	0	1	1	1	1
DUF2415	0	0	2	1	1	1	1	2	1	1	0	1	3	1	1	1	1	1	1	1
PRA-CH	1	0	1	1	0	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
UCR_UQCRX_QCR9	1	3	1	1	1	1	2	2	1	0	1	0	2	1	1	2	0	0	0	1
Urease_gamma	2	6	7	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1
Form_Nir_trans	7	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCA2	0	1	1	1	1	1	2	2	1	1	2	1	1	1	1	0	1	1	1	1
ATP-synt_E	0	2	2	1	1	1	2	2	1	1	1	0	2	1	1	2	0	0	0	1
MoaC	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	0	2	2	1
SIL1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	0	1	0	0	2
EVE	0	2	1	1	1	1	0	2	2	1	1	1	1	0	1	2	1	0	1	1
Acetyltransf_13	0	2	3	1	0	1	1	0	1	1	0	1	1	1	1	1	1	2	2	1
Elong-fact-P_C	0	1	1	1	1	1	1	2	2	1	1	0	2	1	1	1	1	1	1	1
Peptidase_C15	0	1	1	0	1	1	0	2	2	1	0	0	1	1	1	1	1	2	2	3
DUF1349	1	1	1	1	1	1	2	1	2	1	0	0	0	1	1	1	1	1	3	1
KIX_2	1	0	1	0	1	2	2	5	0	2	1	0	2	1	1	1	1	0	0	0
Ephrin_rec_like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
SANT_DAMP1_like	0	1	1	1	0	2	1	1	1	2	0	1	1	0	1	1	1	3	2	1
FLYWCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	12	1
NADH_u_ox_C	1	1	1	1	0	1	1	2	2	1	1	1	2	1	1	1	1	1	0	1
DUF3441	1	0	1	1	0	1	2	2	2	1	1	1	0	1	1	0	1	2	2	1
F_bP_aldolase	4	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Shikimate_dh_N	1	1	1	1	1	1	2	2	2	1	1	1	0	1	1	0	1	1	1	1
MKT1_N	0	1	1	1	1	1	2	2	2	1	1	0	2	1	1	0	1	1	1	1
GalP_UDP_tr_C	0	2	1	0	0	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1
Erf4	0	4	4	1	0	0	1	0	0	0	0	0	0	1	1	1	1	4	2	1
DUF1168	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	0	2	2	1
Rbsn	1	2	2	0	0	0	2	0	1	0	1	1	2	1	1	2	1	1	2	1
DUF3767	1	2	1	1	1	1	0	2	1	1	1	0	1	0	1	1	1	2	2	1
Transthyretin	1	2	3	2	1	1	0	2	0	1	0	1	1	0	0	1	1	1	2	1
Ribophorin_II	1	2	1	1	0	1	0	2	1	1	1	1	1	0	1	1	1	2	2	1
Ribosomal_L39	3	6	6	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1
HECT_2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	3	2	1
B12-binding	2	4	3	1	0	1	0	2	1	1	1	1	2	1	1	0	0	0	0	0
PCO_ADO	1	4	2	0	0	0	2	0	2	0	1	0	0	1	1	2	1	2	2	0
GPHR_N	1	1	1	0	1	1	2	1	2	0	1	0	0	1	1	2	1	2	2	1
Thr_synth_N	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	1	1
DUF1751	0	0	0	2	2	0	1	2	0	1	1	0	2	1	1	1	2	2	2	1
Rsa3	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	2	1	1	1	1
PIGA	1	2	1	1	1	1	1	1	2	0	1	1	1	1	1	0	0	3	1	1
U3_assoc_6	1	0	1	1	1	1	2	2	1	1	0	1	1	1	1	2	1	0	2	1
Glycos_transf_4	0	0	2	1	1	1	2	2	1	0	1	0	0	1	1	1	1	3	2	1
Med4	1	2	1	1	0	1	1	2	1	1	1	0	0	1	1	0	1	3	2	1
Wbp11	0	0	1	1	0	1	2	2	2	1	0	0	1	1	1	2	1	2	2	1
LacAB_rpiB	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
RraA-like	1	1	1	1	1	1	1	1	2	1	1	1	2	0	1	1	1	1	1	1
CBP4	1	1	1	0	1	1	1	2	0	1	1	1	1	1	1	2	1	2	1	1
Rad10	0	1	1	1	1	1	2	2	0	1	1	0	1	1	1	0	1	3	2	1
Chalcone_2	0	0	0	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1
GalP_UDP_transf	0	2	1	0	0	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1
Fringe	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0
DUF1712	1	2	1	1	1	0	0	2	1	1	1	0	0	0	1	1	1	3	2	1
Nop25	1	1	1	1	1	1	2	2	0	1	1	0	0	1	1	1	1	2	2	1
DAGK_acc	0	0	0	0	0	0	2	0	2	0	0	0	1	1	1	0	0	11	3	0
Nuf2	1	1	2	0	0	1	2	2	2	0	0	0	1	1	1	2	1	2	1	1
Las1	0	0	1	2	1	1	1	2	2	1	1	0	1	0	1	1	1	2	2	1
GCN5L1	0	1	1	1	0	1	2	2	1	1	0	0	1	1	1	1	1	2	2	1
Frataxin_Cyay	0	2	1	1	1	1	1	2	0	1	1	0	1	1	1	1	1	2	2	1
DUF2045	0	0	1	1	2	1	0	2	1	1	1	1	2	1	1	1	1	2	1	1
DUF498	1	2	1	1	1	1	0	2	1	1	1	0	0	0	1	2	1	2	2	1
Peptidase_M49	3	7	4	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0
PI31_Prot_N	0	0	1	1	1	1	2	2	0	1	1	1	1	1	1	1	1	2	2	1
DUF2423	1	1	1	0	1	1	2	2	0	1	1	1	2	1	1	1	1	1	1	1
Chromosome_seg	0	0	2	0	0	0	2	2	2	0	0	1	2	1	1	1	1	3	2	1
HbrB	1	2	1	1	1	1	2	2	2	1	1	0	1	1	1	0	1	1	0	1
DUF836	0	2	1	1	2	0	0	5	0	0	0	0	0	0	2	1	1	2	2	2
Ribonuc_P_40	1	1	1	1	1	1	0	1	2	1	0	1	0	0	1	2	1	4	1	1
Bmt2	1	1	1	1	1	1	0	2	1	0	1	1	0	0	1	1	1	2	2	1
Ribosomal_S16	1	2	1	0	1	1	0	2	2	1	1	1	2	0	1	0	0	2	1	1
SAM_PNT	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0
SSXT	1	0	1	0	1	1	1	2	1	1	1	0	2	0	1	1	1	2	2	1
Bot1p	1	0	1	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1
BHD_3	0	1	1	1	1	1	0	1	2	1	1	1	1	0	1	1	1	2	2	1
Mod_r	0	0	1	1	0	0	1	0	1	1	0	1	1	1	1	2	1	3	3	2
TENA_THI-4	2	3	3	1	1	1	2	1	1	1	0	0	1	1	1	0	0	0	0	0
Ribosomal_L9_C	0	0	0	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1
CLN3	0	0	0	0	0	0	2	0	1	0	1	1	1	1	1	1	1	3	2	1
zinc_ribbon_9	2	0	1	1	0	1	0	2	1	1	1	0	0	0	0	2	1	4	2	1
CENP-C_C	1	4	3	0	1	1	2	2	1	1	1	0	0	1	1	0	0	0	1	0
DUF2052	1	2	1	0	0	0	2	0	2	0	0	0	1	1	1	0	1	2	2	1
Ribosomal_L34	1	2	2	1	1	1	1	2	1	1	0	1	0	1	1	0	1	1	1	1
Vma12	1	1	1	0	1	1	1	2	2	1	0	1	2	0	1	0	0	2	2	1
Cnd1_N	0	1	2	1	1	1	1	2	1	1	1	0	0	1	1	1	1	2	1	1
MBT	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0
RRM_3	3	4	4	0	0	1	0	0	2	1	0	0	0	0	0	0	0	2	3	0
Polyketide_cyc2	3	1	2	1	1	1	0	2	0	1	0	0	0	0	0	1	1	2	3	1
GUCT	1	0	1	0	0	0	2	0	2	0	1	1	2	1	1	1	1	2	2	2
AAA_PrkA	1	3	3	0	0	1	0	2	0	1	1	1	1	0	0	0	1	2	2	1
Cdc6_C	2	2	4	1	1	0	2	2	0	0	0	0	0	1	1	0	1	1	1	1
PAX	0	0	0	0	2	3	0	2	0	5	1	1	2	0	0	0	1	2	1	0
Med27	0	0	0	1	1	1	2	2	2	1	0	1	1	0	1	1	1	2	2	1
Lipin_N	0	1	1	1	1	1	1	1	2	1	1	1	2	0	0	1	1	2	1	1
SIP1	1	0	2	1	0	1	1	1	2	0	0	0	1	1	1	1	1	2	2	1
Med6	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
Hep_59	1	1	1	1	1	1	0	1	0	1	1	1	2	0	0	1	1	3	2	1
FANCI_S4	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	3	3	2
Syntaxin-18_N	1	0	1	1	1	1	1	3	1	1	0	1	1	1	1	0	1	1	2	1
Ribosomal_L28	0	1	1	1	1	1	2	2	1	1	1	0	2	1	1	0	1	1	1	1
Npa1	1	1	1	1	1	1	0	0	2	1	1	1	1	0	1	0	1	4	1	1
Glyco_trans_4_4	1	3	2	1	0	3	0	1	1	0	0	0	0	0	1	1	1	1	2	2
