DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
DUF1636	PF07845.13	0	0	1	1	1	1	1	0	0	1	2	1	2	1	0	1	1	1	1	1	1	1	1	2	3	1	1	1	1
Transthyretin	PF00576.23	1	3	0	2	1	0	2	1	1	0	0	1	2	0	1	1	1	1	2	0	0	0	1	2	1	1	1	2	1
Retrotran_gag_2	PF14223.8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	12	0
muHD	PF10291.11	1	2	0	0	0	0	2	2	2	0	0	0	1	0	0	0	1	1	1	0	0	0	1	6	0	0	7	1	1
SCAMP	PF04144.15	0	1	1	0	0	1	0	1	1	2	2	0	0	0	0	0	1	2	0	1	2	2	1	4	1	1	2	2	1
DUF5572	PF17733.3	0	1	1	1	0	2	1	1	0	1	0	1	2	1	1	0	0	0	2	1	1	2	1	4	1	1	1	1	1
Rubrerythrin	PF02915.19	3	4	0	1	2	0	3	1	1	2	2	1	2	0	2	0	0	0	2	1	0	1	0	0	0	0	0	1	0
Spore_permease	PF03845.15	1	4	1	3	1	1	1	1	1	0	0	0	3	0	2	0	2	2	0	1	1	0	1	0	0	0	1	1	1
Ribosomal_L39	PF00832.22	3	6	1	1	0	0	1	2	1	0	0	0	2	0	1	0	2	1	0	1	0	1	1	4	0	0	0	0	1
DPM2	PF07297.14	0	1	1	1	1	2	2	0	0	2	1	1	1	0	1	0	2	1	2	1	1	2	1	0	0	0	1	1	3
Ribosomal_L36	PF00444.20	0	1	1	1	0	2	2	0	0	1	2	1	2	1	1	0	1	1	1	1	1	2	1	4	0	0	0	1	1
COX17	PF05051.15	0	1	1	1	1	1	2	1	1	2	1	1	2	1	1	0	1	2	1	1	0	0	1	4	0	0	0	0	1
TENA_THI-4	PF03070.18	2	4	0	1	1	2	1	3	2	1	1	1	2	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Cohesin_load	PF10345.11	2	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	4	1	1	11	2	1
TMF_TATA_bd	PF12325.10	1	0	1	0	0	2	0	1	1	2	2	0	0	1	0	0	1	1	0	1	1	1	1	6	1	1	1	1	1
Urease_alpha	PF00449.22	2	7	1	0	0	0	0	1	1	0	2	0	0	1	0	1	1	1	0	0	0	0	1	4	1	1	1	1	1
CNDH2_N	PF06278.13	0	0	1	0	0	2	0	0	0	2	2	0	0	0	0	0	1	1	0	0	1	2	1	8	2	1	2	1	1
BESS	PF02944.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	0
Thioredoxin_7	PF13899.8	1	1	0	1	2	2	2	1	1	1	1	2	2	0	1	0	0	0	1	1	1	2	0	0	0	0	2	3	0
CDC24_OB3	PF17244.4	0	1	0	0	0	1	0	1	1	1	0	0	2	0	0	0	1	1	0	1	1	2	1	6	6	0	0	1	1
Dynein_IC2	PF11540.10	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	6	3	1	5	1	1
OATP	PF03137.22	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0
DUF4598	PF15370.8	1	1	1	0	0	1	0	2	1	2	2	1	0	1	0	0	0	0	0	1	1	2	1	4	2	1	1	1	1
Tectonin	PF19193.2	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0
zf-RING-like	PF08746.13	0	1	1	1	0	2	0	1	1	2	1	0	1	1	1	0	0	0	1	1	1	1	1	4	1	1	1	2	1
CTK3_C	PF12350.10	1	1	1	0	0	2	0	1	1	1	0	1	0	0	0	0	2	2	0	1	1	2	1	4	2	1	1	1	1
OGG_N	PF07934.14	1	2	0	1	0	1	1	1	1	2	1	0	1	0	1	1	1	2	1	1	1	1	1	4	2	0	0	0	0
DUF4749	PF15936.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2	0
Thaumatin	PF00314.19	6	9	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vfa1	PF08432.12	0	0	1	1	1	2	2	1	1	1	4	1	2	1	2	1	1	1	1	1	1	2	0	0	0	0	0	0	0
ILEI	PF15711.7	1	2	0	1	0	0	2	2	2	0	0	1	1	0	1	1	2	2	0	0	0	0	1	4	1	1	1	1	1
Urease_beta	PF00699.22	2	7	1	0	0	0	0	1	1	0	2	0	0	1	0	1	1	1	0	0	0	0	1	4	1	1	1	1	1
Apt1	PF10351.11	0	0	0	2	2	0	0	2	2	0	0	2	4	0	2	1	0	0	2	0	0	0	0	0	0	0	8	1	0
BORCS7	PF16088.7	0	0	0	1	0	0	2	0	0	0	2	1	2	0	1	0	0	0	0	1	0	0	1	8	3	1	3	2	0
Taxilin	PF09728.11	1	2	1	1	1	2	2	0	0	1	2	1	2	1	1	1	2	2	1	1	1	1	0	0	0	0	0	1	0
HHH_9	PF17674.3	1	1	1	1	1	0	3	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	4	2	1	4	3	1
TRIC	PF05197.15	0	2	1	0	1	0	1	0	0	2	0	1	1	0	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1
HTH_Tnp_IS630	PF01710.18	0	0	0	5	6	0	1	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	2	0	0
PhoD	PF09423.12	2	2	1	0	0	2	0	0	0	2	2	0	0	1	0	1	2	2	0	1	1	1	1	2	1	1	1	1	1
FRG1	PF06229.14	1	2	1	1	1	0	2	1	1	0	0	1	1	0	1	0	1	1	2	0	0	0	1	4	1	1	1	2	1
WHIM1	PF15612.8	1	2	0	0	1	0	2	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	8	2	2	3	0	1
PAC3	PF10178.11	0	1	0	0	1	1	2	1	1	0	1	1	1	0	1	0	0	0	1	1	1	2	1	4	1	1	2	2	1
ALG3	PF05208.15	0	1	1	1	1	0	1	0	1	2	0	0	1	0	1	0	1	1	2	1	1	1	1	0	2	1	4	2	1
C2-set_2	PF08205.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	7	0
MRP_L53	PF10780.11	0	1	1	0	0	0	2	1	1	0	1	1	1	0	1	1	2	2	0	1	0	2	1	2	2	1	1	2	1
SRP9-21	PF05486.14	0	2	1	1	1	0	2	1	1	1	2	1	2	1	1	0	2	1	1	0	0	0	0	4	2	1	0	0	0
CCDC84	PF14968.8	0	1	0	0	1	2	1	0	0	3	1	1	1	0	0	0	0	0	2	1	1	1	2	4	5	1	0	0	0
BATS	PF06968.15	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	2	0	1	1	1	0	0	0	0	0	0	0
CotH	PF08757.13	1	2	0	0	0	0	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferritin_2	PF13668.8	0	0	1	0	0	2	0	0	0	2	2	1	0	1	0	0	1	1	0	1	1	2	2	8	2	1	0	0	0
PCC_BT	PF18140.3	1	2	1	1	1	2	2	1	1	1	2	1	1	0	1	0	2	2	1	1	1	2	0	0	0	0	0	0	0
Rogdi_lz	PF10259.11	1	1	0	1	1	0	1	0	1	2	1	1	2	0	1	0	0	1	1	1	1	1	1	4	0	0	2	2	0
PET117	PF15786.7	0	1	1	0	0	1	2	1	1	2	1	0	1	1	1	1	1	1	2	1	1	1	1	4	0	0	0	0	1
ANAPC10	PF03256.18	0	1	0	1	0	1	1	1	1	0	0	1	2	0	1	0	0	0	2	0	0	0	1	2	4	1	3	3	1
MMgT	PF10270.11	0	1	1	0	0	1	1	1	1	2	0	1	1	1	0	0	0	0	0	1	0	1	1	6	2	1	1	2	1
AAA_14	PF13173.8	1	1	0	0	0	3	0	1	1	0	2	1	2	0	1	1	1	1	0	2	2	3	0	0	0	0	1	2	1
TPX2	PF06886.13	1	3	1	0	0	1	0	0	0	2	2	1	0	1	0	0	0	0	0	1	1	2	0	2	3	1	3	1	1
MCD_N	PF17408.4	1	2	0	1	1	2	2	0	0	2	1	0	2	0	1	1	1	1	0	1	1	2	1	0	0	0	2	1	1
DUF3510	PF12022.10	0	1	1	0	0	2	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	2	1	4	1	1	2	2	1
Ku_N	PF03731.17	1	3	0	1	1	0	0	2	2	0	0	0	1	0	1	0	1	1	1	0	0	0	2	0	6	0	2	2	0
zf-C2H2_3	PF13878.8	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	2	0	2	4	1	1	2	1
B12-binding	PF02310.21	2	3	1	1	0	0	2	1	1	1	1	1	2	0	1	1	2	2	1	1	1	2	0	0	0	0	0	0	0
ParBc	PF02195.20	0	0	1	1	1	1	3	1	1	2	2	0	1	1	2	0	0	0	1	1	1	2	0	0	0	0	2	2	1
CLP1_N	PF16573.7	0	1	1	1	0	1	2	2	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	2	1	1	2	1	2
RNF220	PF15926.7	2	1	1	0	1	1	2	1	1	2	2	1	1	0	1	0	1	1	1	1	1	2	0	0	0	0	2	1	0
Cys_rich_FGFR	PF00839.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	12	0
CENP-P	PF13096.8	0	0	1	0	0	2	0	1	1	2	1	0	0	1	0	0	1	0	0	0	1	2	1	6	4	1	0	1	1
TPPII	PF12580.10	0	0	1	0	0	2	0	1	1	1	2	0	0	1	0	1	1	1	0	1	1	1	1	4	1	1	2	2	1
DUF1308	PF07000.13	1	1	1	0	0	2	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	4	1	1	3	2	1
MRP-S34	PF16053.7	0	1	1	1	1	2	2	0	0	0	2	1	2	1	1	0	1	1	0	1	1	2	1	0	0	0	2	2	1
Sgf11	PF08209.13	0	1	1	1	1	2	2	1	0	2	2	1	2	1	1	1	1	1	2	1	1	1	0	0	0	0	0	1	0
Vps55	PF04133.16	0	0	1	1	0	1	2	0	1	0	2	0	2	1	1	0	2	0	1	1	0	2	1	2	0	1	2	2	1
AAA_lid_1	PF17857.3	0	1	1	1	0	2	3	1	1	1	1	1	1	0	0	1	1	1	0	1	1	2	1	4	0	1	0	0	0
Urease_gamma	PF00547.20	2	7	1	0	0	0	0	1	1	0	2	0	0	0	0	2	1	1	0	0	0	0	1	4	1	1	0	1	1
Cohesin_HEAT	PF12765.9	1	1	1	1	1	2	1	1	2	2	1	1	1	0	1	0	0	0	1	1	1	2	1	0	0	0	1	2	1
Hormone_recep	PF00104.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	0
DUF667	PF05018.15	0	1	1	0	0	2	0	1	1	0	1	0	0	1	2	0	0	0	0	1	1	1	1	4	3	1	2	2	1
Lectin_legB	PF00139.21	0	0	0	1	1	0	1	1	1	2	3	1	1	0	1	0	1	1	1	0	0	0	1	4	5	1	0	0	0
RyR	PF02026.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1	0
Cons_hypoth95	PF03602.17	1	3	0	1	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	3	0
Cob_adeno_trans	PF01923.20	0	3	1	1	1	2	2	1	0	2	2	1	2	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0
Rad54_N	PF08658.12	1	1	1	0	0	2	0	1	1	2	2	0	0	1	0	1	1	1	0	0	1	1	0	4	1	1	2	1	1
Myb_DNA-bind_5	PF13873.8	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
DUF2011	PF09428.12	0	1	1	0	0	2	0	0	0	2	2	1	2	1	1	0	1	1	0	1	1	2	1	4	2	0	0	1	0
FANCL_d2	PF18890.2	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	2	1	4	4	1	1	2	1
NpwBP	PF12622.9	0	0	1	0	0	2	0	0	0	2	2	0	0	1	0	1	1	1	0	1	1	2	1	4	4	1	1	1	0
ACT_5	PF13710.8	1	2	0	0	0	0	2	1	1	1	0	1	2	0	1	0	1	1	1	0	0	0	1	6	1	1	0	1	1
zf-C3H2C3	PF17122.7	1	1	0	1	1	2	2	1	1	2	2	1	0	0	1	0	0	0	1	0	1	2	1	2	2	1	0	0	0
TOM13	PF08219.13	0	1	0	1	1	0	2	1	1	2	1	1	2	0	1	0	2	2	1	0	0	0	1	4	1	1	0	0	0
DUF753	PF05444.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
HAUS6_N	PF14661.8	1	1	0	1	0	0	0	2	1	0	1	0	2	0	1	0	0	0	1	0	0	0	1	6	3	1	1	2	1
BTHB	PF18410.3	1	1	1	1	1	0	2	0	0	0	0	0	2	1	1	1	2	2	1	0	0	0	1	2	2	1	1	1	1
Yos1	PF08571.12	1	1	0	0	0	2	2	1	1	2	1	1	2	0	1	0	0	0	2	1	1	2	1	4	0	0	0	0	0
acVLRF1	PF18859.3	0	0	1	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	1	1	1	1	8	0	1	2	3	1
HTH_psq	PF05225.18	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0
Expansin_C	PF01357.23	0	0	0	1	0	3	4	0	0	0	2	3	1	0	1	1	2	2	1	1	1	3	0	0	0	0	0	0	0
Vps36_ESCRT-II	PF11605.10	0	1	1	0	0	1	1	1	1	0	2	1	1	0	0	0	1	1	0	1	1	2	1	0	1	1	4	2	1
Glyco_transf_34	PF05637.14	6	16	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyco_trans_1_2	PF13524.8	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	4	7	1	3	1	0
DUF4505	PF14956.8	0	1	2	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	1	1	0	1	1	4	1	0	2	2	1
Ydr279_N	PF17745.3	0	1	1	1	0	0	0	0	0	2	1	0	2	1	1	0	0	0	1	1	0	1	1	4	3	1	1	2	1
DUF4281	PF14108.8	0	0	1	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	2	1	8	2	1	1	1	1
Polyketide_cyc2	PF10604.11	2	2	2	1	1	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	4	1	1	2	2	1
AAA_assoc_2	PF16193.7	0	1	0	0	1	0	2	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	8	2	1	3	1	1
OHCU_decarbox	PF09349.12	1	2	0	1	1	0	1	1	1	0	0	1	2	0	1	0	1	1	2	0	0	0	1	4	1	1	1	1	1
PMC2NT	PF08066.14	1	1	1	1	0	2	2	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	4	0	1	1	2	0
Terpene_syn_C_2	PF19086.2	2	2	3	0	0	0	0	0	0	0	0	1	0	3	0	3	4	4	0	0	0	0	1	0	0	0	1	1	1
Wyosine_form	PF08608.14	0	0	1	0	0	1	2	1	1	2	1	1	1	1	1	0	0	0	0	1	1	2	1	4	0	1	1	1	1
CDT1_C	PF16679.7	1	0	0	1	0	2	2	0	0	1	2	1	2	0	1	0	0	0	0	1	1	2	1	2	1	1	2	1	1
tRNA_int_end_N2	PF12928.9	0	1	1	0	0	2	0	1	1	2	1	1	1	1	0	0	0	0	1	1	1	2	1	2	3	1	1	1	0
Cript	PF10235.11	0	1	0	0	0	2	0	1	1	2	1	1	1	0	1	0	2	2	0	1	1	1	1	4	0	0	2	0	1
Sema	PF01403.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	7	0
Pcc1	PF09341.12	1	1	1	1	0	1	0	0	1	1	1	0	2	1	0	0	1	1	0	1	1	1	1	4	1	0	1	2	1
CENP-H	PF05837.14	0	1	1	1	0	2	0	0	1	1	2	0	2	1	1	0	1	2	0	1	1	2	1	2	0	1	0	1	1
RAMP4	PF06624.14	1	1	1	1	1	2	0	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
UDPG_MGDP_dh_N	PF03721.16	2	2	0	1	1	0	2	1	1	0	0	1	2	0	1	0	0	0	1	0	0	0	1	2	3	1	1	2	0
Arb1	PF09692.12	0	0	1	1	1	2	1	2	2	1	1	1	1	1	0	1	1	1	3	1	1	2	0	0	0	0	0	0	0
FANCL_d1	PF09765.11	0	0	1	1	0	1	0	1	1	2	1	0	0	0	0	0	0	0	1	1	1	2	1	4	4	1	0	2	0
RRP14	PF15459.8	1	1	1	1	1	0	0	1	1	0	2	1	2	1	1	0	2	2	1	0	0	0	1	2	1	1	0	0	1
Ctf8	PF09696.12	0	1	1	1	0	0	2	1	1	2	0	0	2	1	1	0	1	1	0	0	0	0	0	4	2	1	0	2	1
MEKK4_N	PF19431.1	2	6	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	3	3	1
Mit_KHE1	PF10173.11	0	0	1	0	0	2	0	1	1	1	1	0	0	2	0	0	1	1	0	1	1	2	1	4	1	1	1	1	1
C-C_Bond_Lyase	PF15617.8	1	1	1	1	1	2	2	1	1	1	1	0	2	1	1	0	2	1	1	1	1	2	0	0	0	0	0	0	0
Ribosomal_S27	PF01599.21	4	0	0	1	0	0	2	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	1	0	0	1	5	2	1
WKF	PF10180.11	0	0	1	0	0	1	0	1	1	2	1	0	0	1	0	0	1	1	0	1	1	2	1	4	0	1	2	2	1
Haspin_kinase	PF12330.10	2	3	0	1	0	0	2	1	1	1	1	1	2	0	0	1	1	0	1	1	0	0	0	0	0	0	5	1	0
THOC7	PF05615.15	1	1	1	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	4	2	1	2	2	1
Con-6	PF10346.11	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zinc_ribbon_9	PF14369.8	1	1	1	1	0	0	2	1	1	1	0	1	2	1	1	0	0	0	0	0	0	0	1	0	2	1	4	2	1
zf-C4	PF00105.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	7	0
TBP-binding	PF09247.13	1	1	1	1	0	1	1	1	1	2	0	1	2	1	1	0	0	0	1	1	1	1	1	0	2	1	1	1	0
DRY_EERY	PF09750.11	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	2	1	1	4	4	1
DUF455	PF04305.16	0	0	1	0	0	2	0	0	0	2	2	0	0	2	0	0	0	0	0	1	1	2	1	2	2	1	4	1	1
DUF5641	PF18701.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	21	0
IMS_HHH	PF11798.10	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	10	2	2
ATP_synt_H	PF05493.15	1	2	1	0	0	2	2	0	1	2	1	0	1	1	1	1	1	0	1	1	1	1	1	2	0	0	0	0	1
Neur_chan_memb	PF02932.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	0
AIG2_2	PF13772.8	1	1	1	0	0	2	0	0	0	2	1	0	0	1	0	0	3	3	0	1	1	2	1	0	0	0	2	2	1
TBCC_N	PF16752.7	1	1	0	0	0	2	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	4	3	0	2	1	1
DUF4800	PF16057.7	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	1	1	0	1	1	1	1	8	1	1	1	1	1
DUF1206	PF06724.13	0	0	0	0	0	3	0	2	3	2	2	0	0	0	0	4	2	2	0	1	1	2	1	0	0	0	0	0	0
Mim2	PF19117.2	0	1	0	1	0	1	1	1	0	2	2	1	2	0	1	0	0	0	1	1	1	1	1	4	1	0	1	1	0
GIY-YIG	PF01541.26	1	2	3	1	1	0	0	0	2	0	0	1	0	2	1	0	0	0	1	0	1	0	1	0	3	0	3	1	1
Enkurin	PF13864.8	0	0	0	1	0	0	2	1	1	0	0	1	2	0	1	1	2	2	2	0	0	0	1	4	1	1	2	0	0
Galactosyl_T	PF01762.23	1	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0
Rce1-like	PF02517.18	0	1	0	1	0	0	2	0	0	2	0	1	1	1	0	0	0	1	0	1	0	1	1	4	1	1	2	2	1
FIST	PF08495.12	0	1	1	1	1	0	1	1	1	1	1	0	2	1	1	0	0	0	1	0	0	0	1	8	0	1	0	0	0
Rsm1	PF08600.12	1	1	1	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	1	1	8	1	1	0	0	1
Scramblase	PF03803.17	0	1	1	0	0	2	2	2	1	2	2	1	0	1	0	0	0	0	0	1	1	2	0	0	1	0	2	2	0
Death	PF00531.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	0
Spt20	PF12090.10	0	4	0	2	1	0	1	2	2	0	1	1	0	0	1	0	0	0	0	1	0	0	1	4	0	1	2	0	0
FXa_inhibition	PF14670.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0
DUF4449	PF14613.8	2	2	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	3	2	0	2	0
QLQ	PF08880.13	1	1	1	1	1	2	1	2	1	0	1	0	1	1	1	0	0	0	0	1	1	2	0	0	0	0	2	2	1
DUF1242	PF06842.14	1	0	0	1	1	0	2	1	0	2	1	1	2	0	1	0	2	1	2	1	0	0	1	2	0	0	0	1	1
PQQ_2	PF13360.8	4	7	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1
ATP-synt_J	PF04911.14	1	2	1	1	1	1	1	1	0	1	1	0	2	0	1	0	2	2	1	1	1	1	1	0	0	0	0	0	1
NTR2	PF15458.8	1	1	1	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	9	1	1	1	1
COG7	PF10191.11	1	2	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	4	1	1	3	2	1
NTP_transf_9	PF04248.14	0	0	1	0	1	0	1	0	0	1	0	1	2	1	1	0	1	1	0	0	0	0	1	10	1	1	0	0	0
SIL1	PF16782.7	1	1	1	0	0	2	2	0	0	2	1	1	1	1	0	0	1	1	0	1	1	2	1	2	0	0	0	0	2
LacY_symp	PF01306.21	0	2	0	0	0	2	0	2	4	2	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	6	0	0
Peptidase_A17	PF05380.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	0
RNA_helicase	PF00910.24	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	12	1	1	4	0	0
DASH_Dad4	PF08650.12	0	1	2	0	0	2	0	0	1	2	2	0	2	1	1	1	1	1	1	0	1	2	1	2	0	0	0	0	0
TMEM234	PF10639.11	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	4	1	0	2	2	1
DUF5102	PF17104.7	1	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	8	4	1	2	1	0
Tcp11	PF05794.15	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	1	2	2	0	0	0	0	1	4	1	1	2	2	1
CX9C	PF16860.7	1	2	1	1	1	0	2	2	2	0	0	1	2	1	1	1	0	0	1	0	0	0	1	2	1	1	0	0	0
Med9	PF07544.15	0	0	0	0	0	2	0	1	1	2	0	0	1	0	0	0	0	0	2	0	1	2	0	4	4	0	2	1	1
RIH_assoc	PF08454.13	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	2	1	0	8	3	1
TMEM135_C_rich	PF15982.7	0	0	1	0	0	0	0	1	2	1	2	0	2	1	0	1	0	0	0	0	0	0	1	4	1	1	3	2	1
UME	PF08064.15	0	1	1	0	0	2	1	1	1	2	2	0	0	1	0	0	0	0	0	1	1	2	1	4	0	0	1	1	1
GRAB	PF10375.11	0	0	0	0	1	0	2	1	1	0	0	1	2	0	1	1	1	1	0	0	0	0	1	4	2	1	2	1	1
zinc_ribbon_15	PF17032.7	0	1	1	1	0	0	1	0	0	2	0	0	0	1	0	1	1	1	0	1	0	1	1	6	2	1	1	1	0
Sen15	PF09631.12	0	1	1	0	0	2	0	0	1	0	1	0	2	0	1	0	0	0	0	1	1	2	1	2	2	1	2	2	1
NUDIX_2	PF13869.8	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	2	1	6	2	1	2	1	0
SHIPPO-rpt	PF07004.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0
HSDR_N_2	PF13588.8	0	0	0	3	5	1	0	0	0	0	0	0	5	0	7	0	0	1	1	0	1	0	0	0	0	0	0	0	0
TMA7	PF09072.12	1	2	1	1	0	1	1	1	1	1	1	0	1	0	1	0	2	2	1	1	1	1	0	2	0	0	0	0	1
GIT1_C	PF12205.10	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	1	2	2	0
tRNA_lig_CPD	PF08302.13	0	1	0	1	1	2	1	0	0	2	0	1	1	1	1	1	2	2	1	0	1	1	1	0	0	0	1	1	0
Drc1-Sld2	PF11719.10	0	0	1	1	1	2	2	1	1	0	0	1	2	1	1	0	0	0	2	1	1	2	1	0	0	0	0	1	1
DASH_Dam1	PF08653.12	0	1	1	1	1	2	2	0	0	2	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1
Mitochondr_Som1	PF11093.10	0	1	1	1	1	2	1	0	0	2	1	0	2	1	1	0	0	0	2	0	0	1	1	4	0	0	0	0	1
