DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
Urease_beta	PF00699.23	2	7	3	1	0	0	0	0	1	1	0	2	0	0	1	0	1	1	1	0	0	0	0	2	4	1	1	1	1	2
DNA_repr_REX1B	PF14966.9	1	1	2	1	1	1	2	1	1	1	2	1	1	2	0	1	0	0	0	2	1	1	2	2	2	2	1	1	0	0
FLILHELTA	PF10306.12	0	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1	1	1	1	1	1	0	2	2	4	1	1	1	1	2
SAP18	PF06487.15	0	1	1	1	0	0	2	2	1	1	1	2	1	0	1	1	1	1	1	0	1	1	1	2	2	1	1	2	2	2
SPIN90_LRD	PF09431.13	0	2	2	1	1	1	0	2	1	1	0	0	1	1	0	1	1	2	2	1	0	0	0	2	2	2	1	3	1	2
RQC	PF09382.13	1	2	2	0	3	1	0	2	1	0	0	1	0	0	0	0	1	0	0	3	1	0	0	1	3	4	1	2	3	1
GalP_UDP_tr_C	PF02744.20	0	1	1	1	0	0	1	2	1	1	2	2	1	0	1	0	1	1	1	0	1	1	1	2	4	1	1	1	2	2
Ku_N	PF03731.18	1	3	4	0	1	1	0	0	2	2	0	0	0	1	0	1	0	1	1	1	0	0	0	4	0	6	0	2	2	0
Ppx-GppA	PF02541.19	0	1	1	1	0	0	2	0	2	2	2	2	1	0	1	0	0	1	1	0	1	1	2	2	5	1	1	1	0	2
Syntaxin-6_N	PF09177.14	0	0	0	1	1	1	1	2	1	1	1	1	1	2	0	1	0	1	0	2	1	1	1	2	2	3	1	2	1	2
zf-C3HC	PF07967.16	0	1	2	1	0	0	2	0	1	0	2	2	0	0	0	0	1	2	2	0	0	1	1	2	6	1	1	1	1	2
CDC73_C	PF05179.17	1	2	2	1	0	0	1	0	1	1	1	2	0	0	1	0	0	1	1	0	1	1	1	2	4	2	1	2	2	2
CGI-121	PF08617.13	0	1	1	1	1	1	2	2	0	0	2	2	0	2	1	1	0	1	2	1	1	1	1	2	1	1	1	1	1	2
DUF2433	PF10360.12	1	2	2	1	0	0	0	0	1	1	1	2	0	0	1	0	1	2	2	0	0	0	0	2	4	2	1	2	2	3
ThiS	PF02597.23	1	3	2	2	2	2	0	4	1	0	0	0	1	2	1	2	0	1	1	1	0	0	0	0	4	0	1	1	1	0
DUF6581	PF20222.1	1	1	1	1	1	1	0	3	2	1	0	1	1	2	1	1	0	0	0	0	1	0	1	2	4	2	1	1	1	2
Xrn1_D3	PF18194.4	1	0	1	1	0	1	1	2	1	1	2	2	1	2	0	1	0	0	0	1	0	1	2	2	4	1	1	1	1	2
DPM2	PF07297.15	0	1	1	1	1	1	2	2	0	0	2	1	1	1	0	1	0	2	1	2	1	1	2	1	0	0	0	1	1	6
ING	PF12998.10	0	3	3	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	7	1	1	5	4	1
Fra10Ac1	PF09725.12	0	0	0	1	0	0	2	0	1	1	2	2	0	0	0	0	1	1	1	0	1	1	2	2	5	1	1	4	2	2
UCR_UQCRX_QCR9	PF05365.15	1	1	1	1	1	1	2	2	1	1	1	1	0	2	1	1	0	2	2	1	1	1	2	2	2	0	0	0	0	2
TYW3	PF02676.17	0	0	0	1	0	0	2	2	1	1	1	2	1	2	1	1	0	0	0	0	1	1	3	2	4	1	1	1	1	2
Nop10p	PF04135.15	1	1	1	1	1	1	2	2	1	1	1	0	1	2	0	1	0	1	1	1	1	1	1	2	2	0	0	0	0	4
DUF4211	PF13926.9	0	1	1	1	1	0	2	1	0	0	2	1	1	1	1	1	0	1	1	2	1	1	2	0	2	3	1	2	1	2
EF-hand_like	PF09279.14	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	2	2	0	0	0	0	2	7	1	1	8	2	2
PIG-X	PF08320.15	0	1	1	1	0	1	0	2	1	0	2	2	1	1	1	1	0	1	1	2	1	0	2	2	2	1	1	1	2	2
DHH	PF01368.23	0	1	0	1	0	0	2	1	0	1	0	2	1	2	1	1	0	1	1	0	1	1	1	2	6	1	1	1	1	3
Urease_alpha	PF00449.23	2	7	3	1	0	0	0	0	1	1	0	2	0	0	1	0	1	1	1	0	0	0	0	2	4	1	1	1	1	2
DASH_Dad3	PF08656.13	0	1	1	1	0	1	2	1	1	1	1	2	1	2	1	1	0	1	0	2	1	1	1	2	5	0	0	0	0	2
EMC6	PF07019.15	0	1	1	1	1	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	1	2	2	4	4	1	3	2	2
DUF3835	PF12927.10	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	2	2	8	2	0	1	1	2
CI-B14_5a	PF07347.15	0	0	0	1	0	1	1	2	0	0	2	2	1	2	0	1	1	2	2	1	0	0	1	2	4	1	1	1	1	2
EFP	PF01132.23	0	1	1	1	1	0	1	1	1	1	2	2	1	2	0	1	0	2	2	0	1	1	2	2	2	1	1	1	1	0
Rubrerythrin	PF02915.20	3	4	3	0	1	2	0	3	1	1	2	2	1	2	0	2	0	0	0	2	1	0	1	0	0	0	0	0	1	0
Vps8	PF12816.10	1	1	1	0	1	0	1	2	1	1	0	1	1	1	0	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2
NuiA	PF07924.14	1	1	1	1	1	1	0	2	0	0	0	2	1	2	0	1	0	0	0	1	0	0	0	2	6	4	1	1	1	2
muHD	PF10291.12	1	2	3	0	0	0	0	2	2	2	0	0	0	1	0	0	0	1	1	1	0	0	0	2	4	0	0	7	1	2
CDC24_OB3	PF17244.5	0	1	3	0	0	0	1	0	1	1	1	0	0	2	0	0	0	1	1	0	1	1	2	2	5	6	0	0	1	2
FPL	PF09758.12	0	0	0	1	0	0	1	1	0	0	1	2	0	1	1	1	1	1	1	0	1	1	2	2	6	1	1	2	2	2
Con-6	PF10346.12	3	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkr1	PF08636.13	1	3	1	1	1	1	1	0	0	0	2	1	0	0	1	0	0	0	1	1	1	0	2	2	7	1	1	0	1	2
TniB	PF05621.14	1	2	1	0	0	0	2	0	2	2	0	1	0	0	0	0	1	0	0	0	1	1	1	2	4	5	1	1	2	2
Med22	PF06179.15	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	2	4	0	0	2	2	2
TRIC	PF05197.16	0	2	2	1	0	1	0	1	0	0	2	0	1	1	0	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2
ILEI	PF15711.8	1	2	2	0	1	0	0	2	2	2	0	0	1	1	0	1	1	2	2	0	0	0	0	2	4	1	1	1	1	2
Urease_gamma	PF00547.21	2	7	3	1	0	0	0	0	1	1	0	2	0	0	0	0	2	1	1	0	0	0	0	2	4	1	1	0	1	2
CENP-N	PF05238.16	0	0	0	1	1	0	2	1	1	1	2	2	0	0	0	1	0	0	0	0	1	1	2	2	3	5	1	1	1	2
SCAMP	PF04144.16	0	1	1	1	0	0	1	0	1	1	2	2	0	0	0	0	0	1	2	0	1	1	2	2	4	1	1	2	2	2
ORC4_C	PF14629.9	0	1	1	1	1	0	1	1	1	1	2	1	0	0	0	0	0	1	1	1	1	1	2	2	5	1	1	2	1	2
HNH	PF01844.26	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	8	13	1	1	1	2
Mur_ligase_M	PF08245.15	0	1	1	1	1	0	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	0	2
ANAPC8	PF04049.16	1	1	4	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	9	4	3	1	1	2	2
MgsA_C	PF12002.11	0	1	3	0	0	2	0	2	1	1	0	0	1	2	0	1	0	0	0	1	0	0	0	2	6	2	1	3	1	2
Alginate_lyase	PF05426.15	6	10	10	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF5572	PF17733.4	0	1	1	1	1	0	2	1	1	0	1	0	1	2	1	1	0	0	0	2	1	1	2	2	4	1	1	1	1	2
CLP1_N	PF16573.8	0	1	1	1	1	0	1	2	2	1	1	1	1	1	1	1	0	0	0	0	0	1	1	2	2	1	1	2	1	4
DUF1636	PF07845.14	0	0	1	1	1	1	1	1	0	0	1	2	1	2	1	0	1	1	1	1	1	1	1	2	2	3	1	1	1	2
EFP_N	PF08207.15	0	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	0	2	1	0	1	1	2	2	2	1	1	1	1	2
Ribosomal_L36	PF00444.21	0	1	1	1	1	0	2	2	0	0	1	2	1	2	1	1	0	1	1	1	1	1	2	2	4	0	0	0	1	2
Coa3_cc	PF09813.12	1	1	1	1	0	1	0	2	1	1	1	2	1	2	1	1	1	2	2	0	1	0	1	2	2	1	1	0	0	2
RAC_head	PF16717.8	2	2	2	0	1	1	2	3	1	1	2	1	1	2	0	1	0	1	2	1	1	1	2	0	0	0	0	1	1	0
SF3a60_bindingd	PF12108.11	1	1	1	0	1	0	0	2	1	1	2	0	1	1	0	1	0	0	0	1	0	0	0	1	7	1	1	3	2	2
HHH_9	PF17674.4	1	1	1	1	1	1	0	3	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	2	4	2	1	4	3	2
Ssu72	PF04722.16	1	1	3	0	0	1	0	0	1	1	2	0	1	2	0	1	0	1	1	0	0	0	0	2	6	3	1	2	1	0
Lycopene_cycl	PF05834.15	0	0	1	1	2	0	2	4	0	0	2	2	2	1	1	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0
PLA2_B	PF01735.21	0	0	0	1	0	0	2	1	2	2	2	2	1	0	1	0	2	1	1	0	1	1	2	0	0	1	0	1	1	2
HpcH_HpaI	PF03328.17	2	1	1	1	1	1	2	2	1	1	3	1	1	2	2	1	0	2	1	1	1	1	2	0	0	0	0	0	0	0
Lectin_C	PF00059.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	22	0
Syntaxin-5_N	PF11416.11	1	1	1	1	0	0	2	0	2	1	2	1	0	0	1	0	0	2	2	0	1	1	2	2	4	1	1	0	0	2
Nup188	PF10487.12	0	0	0	1	1	1	1	1	1	1	0	0	1	2	1	1	0	2	2	0	0	0	0	2	4	2	1	2	2	0
Telomerase_RBD	PF12009.11	0	0	1	0	0	0	0	1	0	1	2	1	0	1	0	1	0	0	0	0	0	0	1	1	5	13	1	0	1	1
MCD_N	PF17408.5	1	2	2	0	1	1	2	2	0	0	2	1	0	2	0	1	1	1	1	0	1	1	2	2	0	0	0	2	1	2
MRP_L53	PF10780.12	0	1	1	1	0	0	0	2	1	1	0	1	1	1	0	1	1	2	2	0	1	0	2	2	2	2	1	1	2	2
SF3b10	PF07189.14	0	1	1	1	0	1	2	2	1	0	1	2	1	2	0	1	0	1	1	1	1	1	1	2	5	0	0	0	0	2
Dynein_IC2	PF11540.11	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	2	2	5	3	1	5	1	2
YfbR-like	PF12917.10	1	1	1	0	1	1	0	2	1	1	0	0	1	2	0	1	0	1	1	1	0	0	0	1	6	1	1	2	2	2
TPX2	PF06886.14	1	2	2	1	0	0	1	0	0	0	2	2	1	0	1	0	0	0	0	0	1	1	2	1	2	3	1	3	1	2
Pet191_N	PF10203.12	0	1	1	1	1	1	1	2	1	1	1	2	1	2	0	1	1	1	0	1	1	1	2	2	3	0	0	0	0	2
AAA_lid_5	PF17865.4	1	1	1	1	1	0	2	0	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	4	0	0	2	0	2
TBP-binding	PF09247.14	1	1	5	1	1	0	1	1	1	1	2	0	1	2	1	1	0	0	0	1	1	1	1	2	0	2	1	1	1	0
FRG1	PF06229.15	1	2	1	1	1	1	0	2	1	1	0	0	1	1	0	1	0	1	1	2	0	0	0	2	4	1	1	1	2	2
MMtag	PF10159.12	0	1	1	1	0	0	1	0	1	1	2	1	0	0	1	0	1	1	1	0	1	1	2	2	5	1	1	2	1	2
TENA_THI-4	PF03070.19	2	3	3	0	1	1	2	1	3	2	1	1	1	2	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Dak2	PF02734.20	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	2	8	4	1	3	1	4
NOPCHAP1	PF15370.9	1	1	1	1	0	0	1	0	2	1	2	2	1	0	1	0	0	0	0	0	1	1	2	2	4	2	1	1	1	2
LDcluster4	PF18306.4	0	1	1	1	1	2	1	2	1	1	2	2	1	2	0	1	1	1	1	2	1	1	2	0	0	0	0	0	1	2
Terpene_syn_C_2	PF19086.3	2	2	3	3	0	0	0	0	0	0	0	0	1	0	3	0	3	4	4	0	0	0	0	2	0	0	0	1	1	2
RicinB_lectin_2	PF14200.9	0	0	0	0	2	1	0	1	7	7	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PAC3	PF10178.12	0	1	1	0	0	1	1	2	1	1	0	1	1	1	0	1	0	0	0	1	1	1	2	2	4	1	1	2	2	2
DUF1308	PF07000.14	1	1	1	1	0	0	2	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	2	4	1	1	3	2	2
DUF2428	PF10350.12	1	2	2	0	1	1	0	2	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	2	4	1	1	3	2	2
MRNIP	PF15749.8	0	1	0	1	1	0	2	1	0	0	2	0	1	2	0	1	0	0	0	1	1	1	2	2	4	2	1	1	2	2
Peptidase_C97	PF05903.17	1	1	1	0	0	0	0	2	3	3	0	0	1	2	0	1	0	0	0	0	0	0	0	2	5	1	1	3	2	2
CCDC84	PF14968.9	0	1	3	0	0	1	2	1	0	0	2	1	1	1	0	0	0	0	0	2	1	1	1	3	3	5	1	0	0	0
OHCU_decarbox	PF09349.13	1	2	4	0	1	1	0	1	1	1	0	0	1	2	0	1	0	1	1	2	0	0	0	2	3	1	1	1	1	2
ALG3	PF05208.16	0	1	1	1	1	1	0	1	0	1	2	0	0	1	0	1	0	1	1	2	1	1	1	2	0	2	1	4	2	2
zf-RING-like	PF08746.14	0	1	1	1	1	0	2	0	1	1	2	1	0	1	1	1	0	0	0	1	1	1	1	2	4	1	1	1	2	2
Ferritin_2	PF13668.9	0	0	1	1	0	0	2	0	0	0	2	2	1	0	1	0	0	1	1	0	1	1	2	4	8	2	1	0	0	0
ATG101	PF07855.15	0	1	0	1	0	0	0	0	1	1	2	2	0	0	1	0	1	1	1	0	1	0	1	2	2	4	1	4	2	2
rRNA_processing	PF08524.14	0	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	0	1	1	1	0	1	2	0	0	1	0	2	1	2
CFA20_dom	PF05018.16	0	1	2	1	0	0	2	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	2	4	3	1	2	2	2
Taxilin	PF09728.12	1	2	3	1	1	1	2	2	0	0	1	2	1	2	1	1	1	2	2	1	1	1	1	0	0	0	0	0	1	0
DUF1776	PF08643.13	1	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	2	1	1	0	1	1	2	3	8	2	2	0	1	0
RRM_3	PF08777.14	3	4	6	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	2	4	1	0	2	3	0
tRNA_int_end_N2	PF12928.10	0	1	2	1	0	0	2	0	1	1	2	1	1	1	1	0	0	0	0	1	1	1	2	2	2	3	1	1	1	1
Sgf11	PF08209.14	0	1	3	1	1	1	2	2	1	0	2	2	1	2	1	1	1	1	1	2	1	1	1	0	0	0	0	0	1	0
QLQ	PF08880.14	1	1	5	1	1	1	2	1	2	1	0	1	0	1	1	1	0	0	0	0	1	1	2	0	0	0	0	2	2	2
COG2_C	PF12022.11	0	1	1	1	0	0	2	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	2	2	4	1	1	2	2	2
Cohesin_HEAT	PF12765.10	1	1	1	1	1	1	2	1	1	2	2	1	1	1	0	1	0	0	0	1	1	1	2	2	0	0	0	1	2	2
PQQ_2	PF13360.9	3	6	4	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2
BATS	PF06968.16	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	2	0	1	1	1	0	0	0	0	0	0	0
MRP-S34	PF16053.8	0	1	1	1	1	1	2	2	0	0	0	2	1	2	1	1	0	1	1	0	1	1	2	2	0	0	0	2	2	2
Vps55	PF04133.17	0	0	1	1	1	0	1	2	0	1	0	2	0	2	1	1	0	2	0	1	1	0	2	2	2	0	1	2	2	2
MARVEL	PF01284.26	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	1	2	2	4	1	2	6	4	0
Pcc1	PF09341.13	1	1	2	1	1	0	1	0	0	1	1	1	0	2	1	0	0	1	1	0	1	1	1	2	4	1	0	1	2	2
CotH	PF08757.14	1	2	2	0	0	0	0	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ydr279_N	PF17745.4	0	1	2	1	1	0	0	0	0	0	2	1	0	2	1	1	0	0	0	1	1	0	1	2	4	3	1	1	2	2
OGG_N	PF07934.15	1	1	1	0	1	0	1	1	1	1	2	1	0	1	0	1	1	1	1	1	1	1	1	2	4	2	0	0	0	0
CTK3_C	PF12350.11	1	1	1	1	0	0	2	0	1	1	1	0	1	0	0	0	0	2	2	0	1	1	2	2	3	2	1	1	1	2
Lectin_legB	PF00139.22	0	0	2	0	1	1	0	1	1	1	2	3	1	1	0	1	0	1	1	1	0	0	0	2	4	5	1	0	0	0
COX17	PF05051.16	0	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	0	1	2	1	1	0	0	1	4	0	0	0	0	2
DAGK_acc	PF00609.22	0	0	0	0	0	0	2	0	2	1	2	2	0	0	0	0	0	1	1	0	1	1	1	2	0	0	0	11	3	0
CDT1_C	PF16679.8	1	0	2	0	1	0	2	2	0	0	1	2	1	2	0	1	0	0	0	0	1	1	2	2	2	1	1	2	1	2
TMF_TATA_bd	PF12325.11	1	0	1	1	0	0	2	0	1	1	2	2	0	0	1	0	0	1	1	0	1	1	1	2	5	1	1	1	1	2
Retrotran_gag_2	PF14223.9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	12	0
CENP-X	PF09415.13	1	1	1	1	1	1	2	0	0	0	2	2	0	0	0	1	0	2	2	1	1	1	2	2	5	1	0	0	0	0
7TM_GPCR_Srsx	PF10320.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	18	9	0
Cob_adeno_trans	PF01923.21	0	3	2	1	1	1	2	2	1	0	2	2	1	2	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0
NpwBP	PF12622.10	0	0	1	1	0	0	2	0	0	0	2	2	0	0	1	0	1	1	1	0	1	1	2	2	4	4	1	1	1	0
AAA_assoc_2	PF16193.8	0	1	3	0	0	1	0	2	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	2	6	2	1	3	1	2
AAA_14	PF13173.9	1	1	1	0	0	0	3	0	1	1	0	2	1	2	0	1	1	1	1	0	2	2	3	0	0	0	0	1	2	2
tRNA_Me_trans_C	PF20258.1	1	1	1	0	0	1	0	0	0	0	2	1	0	1	0	1	0	1	1	1	0	0	1	2	3	4	1	2	2	2
BTHB	PF18410.4	1	1	1	1	1	1	0	2	0	0	0	0	0	2	1	1	1	2	2	1	0	0	0	2	2	2	1	1	1	2
HAUS6_N	PF14661.9	1	1	1	0	1	0	0	0	2	1	1	1	0	2	0	1	0	0	0	1	0	0	0	2	5	3	1	1	2	2
NHL	PF01436.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0
zinc_ribbon_9	PF14369.9	1	1	2	1	1	0	0	2	1	1	1	0	1	2	1	1	0	0	0	0	0	0	0	2	0	2	1	4	2	2
ATP-synt_J	PF04911.15	1	2	3	1	1	1	1	1	1	0	1	1	0	2	0	1	0	2	2	1	1	1	1	2	0	0	0	0	0	2
OCD_Mu_crystall	PF02423.18	1	1	0	1	0	1	0	1	1	1	0	2	1	2	0	1	0	0	0	1	0	0	0	2	4	4	1	0	2	2
Rogdi_lz	PF10259.12	1	1	1	0	1	1	0	1	0	1	2	1	1	2	0	1	0	0	1	1	1	1	1	2	4	0	0	2	2	0
Ribosomal_S27	PF01599.22	4	0	4	0	1	0	0	2	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	1	0	0	1	5	2	1
Thioredoxin_7	PF13899.9	1	1	1	0	1	2	2	2	1	1	1	1	2	2	0	1	0	0	0	1	1	1	2	0	0	0	0	2	3	0
COG7	PF10191.12	1	1	2	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	2	4	1	1	3	2	2
EGF_3	PF12947.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0
ANAPC10	PF03256.19	0	1	1	0	1	0	0	1	1	1	0	0	1	2	0	1	0	0	0	2	0	0	0	2	2	4	1	3	3	2
PMC2NT	PF08066.15	1	1	2	1	1	0	2	2	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	2	4	0	1	1	2	0
PET117	PF15786.8	0	1	1	1	0	0	1	2	1	1	2	1	0	1	1	1	1	1	1	2	1	1	1	1	4	0	0	0	0	2
BORCS7	PF16088.8	0	0	1	0	1	0	0	2	0	0	0	2	1	2	0	1	0	0	0	0	1	0	0	2	6	3	1	3	2	1
SRP9-21	PF05486.15	0	2	1	1	1	1	0	2	1	1	1	2	1	2	1	1	0	2	1	1	0	0	0	0	4	2	1	0	0	0
Ndc1_Nup	PF09531.13	1	1	2	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	6	4	1	1	2	2
Polyketide_cyc2	PF10604.12	2	2	1	2	1	1	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	4	1	1	2	2	2
Rad54_N	PF08658.13	1	1	1	1	0	0	2	0	1	1	2	2	0	0	1	0	1	1	1	0	0	1	1	0	4	1	1	2	1	2
zf-NADH-PPase	PF09297.14	0	1	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	8	7	1	2	1	2
zf-C3H2C3	PF17122.8	1	1	2	0	1	1	2	2	1	1	2	2	1	0	0	1	0	0	0	1	0	1	2	2	2	2	1	0	0	0
B12-binding	PF02310.22	2	3	2	1	1	0	0	2	1	1	1	1	1	2	0	1	1	2	2	1	1	1	2	0	0	0	0	0	0	0
Plant_tran	PF04827.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	20	0
WHIM1	PF15612.9	1	2	2	0	0	1	0	2	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	6	2	2	3	0	2
TPPII	PF12580.11	0	0	0	1	0	0	2	0	1	1	1	2	0	0	1	0	1	1	1	0	1	1	1	2	4	1	1	2	2	2
DUF2011	PF09428.13	0	1	1	1	0	0	2	0	0	0	2	2	1	2	1	1	0	1	1	0	1	1	2	2	4	2	0	0	1	0
MMgT	PF10270.12	0	1	2	1	0	0	1	1	1	1	2	0	1	1	1	0	0	0	0	0	1	0	1	1	5	2	1	1	2	2
DUF4505	PF14956.9	0	1	2	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	1	1	0	1	2	4	1	0	2	2	2
Cript	PF10235.12	0	1	1	0	0	0	2	0	1	1	2	1	1	1	0	1	0	2	2	0	1	1	1	2	4	0	0	2	0	2
Mim2	PF19117.3	0	1	1	0	1	0	1	1	1	0	2	2	1	2	0	1	0	0	0	1	1	1	1	2	4	1	0	1	1	1
Wyosine_form	PF08608.15	0	0	0	1	0	0	1	2	1	1	2	1	1	1	1	1	0	0	0	0	1	1	2	2	4	0	1	1	1	2
TBCC_N	PF16752.8	1	1	1	0	0	0	2	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	2	4	3	0	2	1	2
Pik1	PF11522.11	0	1	4	0	0	0	1	0	2	2	2	1	0	0	0	0	0	0	0	0	1	1	1	2	4	1	1	1	1	2
PCC_BT	PF18140.4	1	2	1	1	1	1	2	2	1	1	1	2	1	1	0	1	0	2	2	1	1	1	2	0	0	0	0	0	0	0
RRP14	PF15459.9	1	1	1	1	1	1	0	0	1	1	0	2	1	2	1	1	0	2	2	1	0	0	0	2	2	1	1	0	0	2
HeH	PF12949.10	2	4	5	0	2	2	0	2	0	0	0	0	1	4	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0
TOM13	PF08219.14	0	1	1	0	1	1	0	2	1	1	2	1	1	2	0	1	0	2	2	1	0	0	0	2	4	1	1	0	0	0
Vps36_ESCRT-II	PF11605.11	0	1	0	1	0	0	1	1	1	1	0	2	1	1	0	0	0	1	1	0	1	1	2	2	0	1	1	4	2	2
RIH_assoc	PF08454.14	1	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	2	1	0	8	3	2
OATP	PF03137.23	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0
BORCS8	PF10167.12	0	0	3	0	1	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	2	2	2	2	1	3	2	2
THOC7	PF05615.16	1	1	1	1	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	2	4	2	1	2	2	2
CNDH2_N	PF06278.14	0	0	0	1	0	0	2	0	0	0	2	2	0	0	0	0	0	1	1	0	0	1	2	2	6	2	1	2	1	2
GIY-YIG	PF01541.27	1	2	2	3	1	1	0	0	0	2	0	0	1	0	2	1	0	0	0	1	0	1	0	2	0	3	0	3	1	1
DRY_EERY	PF09750.12	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	2	2	1	1	4	4	2
SIL1	PF16782.8	1	1	1	1	0	0	2	2	0	0	2	1	1	1	1	0	0	1	1	0	1	1	2	2	2	0	0	0	0	4
Vfa1	PF08432.13	0	0	0	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0
AIG2_2	PF13772.9	1	1	1	1	0	0	2	0	0	0	2	1	0	0	1	0	0	3	3	0	1	1	2	2	0	0	0	2	2	2
